snr_db,f0,f1,frequency_pair,folder,messages_found,messages_expected,passed
-17.699999999999985,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-17.699999999999985,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-17.699999999999985,22000.0,23000.0,22000-23000,22000-23000_speaker,119,125,False
-17.699999999999985,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-17.999999999999986,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-17.999999999999986,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-17.999999999999986,22000.0,23000.0,22000-23000,22000-23000_speaker,0,125,False
-17.999999999999986,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-18.299999999999986,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-18.299999999999986,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-18.299999999999986,22000.0,23000.0,22000-23000,22000-23000_speaker,0,125,False
-18.299999999999986,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-18.599999999999987,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-18.599999999999987,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-18.599999999999987,22000.0,23000.0,22000-23000,22000-23000_speaker,97,125,False
-18.599999999999987,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-18.899999999999984,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-18.899999999999984,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-18.899999999999984,22000.0,23000.0,22000-23000,22000-23000_speaker,65,125,False
-18.899999999999984,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-19.199999999999985,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
